location,dataset-date,day,open_morning,close_lunchtime,open_lunchtime,close_evening,
Benwell Library,2004,Monday,09:30,12:30,13:30,20:00,
Benwell Library,2004,Tuesday,09:30,12:30,13:30,17:00,
Benwell Library,2004,Wednesday,,,,,
Benwell Library,2004,Thursday,09:30,12:30,13:30,20:00,
Benwell Library,2004,Friday,09:30,12:30,13:30,17:00,
Benwell Library,2004,Saturday,09:00,13:00,14:15,17:00,
Benwell Library,2004,Sunday,,,,,
Blakelaw Library,2004,Monday,,,14:00,19:00,
Blakelaw Library,2004,Tuesday,,,13:30,17:00,
Blakelaw Library,2004,Wednesday,,,,,
Blakelaw Library,2004,Thursday,,,14:00,19:00,
Blakelaw Library,2004,Friday,,,13:30,17:00,
Blakelaw Library,2004,Saturday,10:00,13:00,,,
Blakelaw Library,2004,Sunday,,,,,
City Library,2004,Monday,09:00,,,20:00,
City Library,2004,Tuesday,09:00,,,20:00,
City Library,2004,Wednesday,09:00,,,20:00,
City Library,2004,Thursday,09:00,,,20:00,
City Library,2004,Friday,09:00,,,17:00,
City Library,2004,Saturday,09:00,,,17:00,
City Library,2004,Sunday,,,12:00,16:00,
Cruddas Park Library,2004,Monday,09:30,12:00,,,
Cruddas Park Library,2004,Tuesday,09:30,12:00,13:00,16:30,
Cruddas Park Library,2004,Wednesday,,,,,
Cruddas Park Library,2004,Thursday,09:30,12:00,13:00,16:30,
Cruddas Park Library,2004,Friday,09:30,12:00,,,
Cruddas Park Library,2004,Saturday,09:30,12:30,,,
Cruddas Park Library,2004,Sunday,,,,,
Denton Burn Library,2004,Monday,09:00,,,20:00,
Denton Burn Library,2004,Tuesday,09:00,,,17:00,
Denton Burn Library,2004,Wednesday,,,,,
Denton Burn Library,2004,Thursday,09:00,,,20:00,
Denton Burn Library,2004,Friday,09:00,,,17:00,
Denton Burn Library,2004,Saturday,09:00,,,17:00,
Denton Burn Library,2004,Sunday,,,,,
Dinnington Library,2004,Monday,,,14:00,17:00,
Dinnington Library,2004,Tuesday,,,,,
Dinnington Library,2004,Wednesday,10:00,13:00,,,
Dinnington Library,2004,Thursday,,,,,
Dinnington Library,2004,Friday,,,14:00,17:00,
Dinnington Library,2004,Saturday,10:00,13:00,,,
Dinnington Library,2004,Sunday,,,,,
East End Library,2004,Monday,09:00,,,20:00,
East End Library,2004,Tuesday,09:00,,,17:00,
East End Library,2004,Wednesday,09:00,,,17:00,
East End Library,2004,Thursday,09:00,,,20:00,
East End Library,2004,Friday,09:00,,,17:00,
East End Library,2004,Saturday,09:00,,,17:00,
East End Library,2004,Sunday,10:00,14:00,,,
Fawdon Library,2004,Monday,,,14:00,19:00,
Fawdon Library,2004,Tuesday,10:00,13:00,,,
Fawdon Library,2004,Wednesday,,,,,
Fawdon Library,2004,Thursday,10:00,13:00,14:00,17:00,
Fawdon Library,2004,Friday,10:00,13:00,,,
Fawdon Library,2004,Saturday,10:00,13:00,,,
Fawdon Library,2004,Sunday,,,,,
Fenham Library,2004,Monday,09:00,,,20:00,
Fenham Library,2004,Tuesday,09:00,,,17:00,
Fenham Library,2004,Wednesday,,,,,
Fenham Library,2004,Thursday,09:00,,,20:00,
Fenham Library,2004,Friday,09:00,,,17:00,
Fenham Library,2004,Saturday,09:00,,,17:00,
Fenham Library,2004,Sunday,,,,,
Gosforth Library,2004,Monday,09:00,,,20:00,
Gosforth Library,2004,Tuesday,09:00,,,17:00,
Gosforth Library,2004,Wednesday,09:00,,,17:00,
Gosforth Library,2004,Thursday,09:00,,,20:00,
Gosforth Library,2004,Friday,09:00,,,17:00,
Gosforth Library,2004,Saturday,09:00,,,17:00,
Gosforth Library,2004,Sunday,10:00,14:00,,,
High Heaton Library,2004,Monday,09:30,12:30,13:30,20:00,
High Heaton Library,2004,Tuesday,09:30,12:30,13:30,17:00,
High Heaton Library,2004,Wednesday,,,,,
High Heaton Library,2004,Thursday,09:30,12:30,13:30,20:00,
High Heaton Library,2004,Friday,09:30,12:30,13:30,17:00,
High Heaton Library,2004,Saturday,09:00,13:00,14:15,17:00,
High Heaton Library,2004,Sunday,,,,,
Jesmond Library,2004,Monday,09:00,,,20:00,
Jesmond Library,2004,Tuesday,09:00,,,17:00,
Jesmond Library,2004,Wednesday,,,,,
Jesmond Library,2004,Thursday,09:00,,,20:00,
Jesmond Library,2004,Friday,09:00,,,17:00,
Jesmond Library,2004,Saturday,09:00,,,17:00,
Jesmond Library,2004,Sunday,,,,,
Kenton Library,2004,Monday,09:30,12:30,13:30,20:00,
Kenton Library,2004,Tuesday,09:30,12:30,13:30,17:00,
Kenton Library,2004,Wednesday,,,,,
