,open morning,close lunchtime,open lunchtime,close evening
Local Studies,,,,
Monday,9:00,,,20:00
Tuesday,9:00,,,20:00
Wednesday,9:00,,,20:00
Thursday,9:00,,,20:00
Friday,9:00,,,17:00
Saturday,9:00,,,17:00
Sunday,,,12:00,16:00
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Tourist Information Centre,,,,
Monday,9:30,,,17:30
Tuesday,9:30,,,17:30
Wednesday,9:30,,,17:30
Thursday,9:30,,,17:30
Friday,9:30,,,17:30
Saturday,9:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
City Mobile,,,,
Monday,,,,
Tuesday,,,,
Wednesday,9:30,,,18:00
Thursday,9:30,,,18:00
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Mobile - see full 2 week timetable for all stops and travel time,,,,
Monday,9:45,,,19:30
Tuesday,10:00,,,16:30
Wednesday,,,,
Thursday,9:45,,,19:30
Friday,9:45,,,16:30
Saturday,9:30,,,16:30
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
City Library,,,,
Monday,,,,
Tuesday,,,,
Wednesday,,,,
Thursday,,,,
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Benwell Library,,,,
Monday,9:30,12:30,13:30,20:00
Tuesday,9:30,12:30,13:30,17:00
Wednesday,17:00,17:00,17:00,17:00
Thursday,9:30,12:30,13:30,20:00
Friday,9:30,12:30,13:30,17:00
Saturday,9:00,13:00,14:15,17:00
Sunday,17:00,17:00,17:00,17:00
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Blakelaw Library,,,,
Monday,,,14:00,19:00
Tuesday,9:30,13:00,,
Wednesday,17:00,17:00,17:00,17:00
Thursday,,,14:00,19:00
Friday,,,13:30,17:00
Saturday,10:00,13:00,17:00,17:00
